datapoint averagetime averagesmooth time timedelta speed speeddelta speedaverage speedaveragetime speedmax speedmaxtime maxspeed maxspeeddelta maxspeedaverage angle angledelta acceleration accelerationsmooth accelerationdelta accelerationmin accelerationmax accelerationmintime accelerationmaxtime distance distancedelta turn turndelta rpm
74 100 10 4.210137102 0.050354732 2.79521 0.0796041 1.9825 2.6136 3.42113 3.25018 7.35221 -0.139926 4.95201 -12.2442 -9.20971 1.58087 0.573412 0.799506 -23.2743 10.6565 2.72467 -4.43837 10.690967 0.140752 -0.306105 -0.230243 3631.6
75 100 10 4.260509177 0.050372075 2.87517 0.0799608 1.98302 2.61661 3.42113 3.25018 7.0432 -0.309003 4.95322 -18.4581 -6.21395 1.5874 0.531186 0.0065365 -23.2743 10.6565 2.72467 -4.43837 10.835795 0.144828 -0.461453 -0.155349 3735.49
76 100 10 4.320044426 0.059535249 2.99535 0.120187 1.9836 2.62104 3.42113 3.25018 6.65427 -0.388931 4.9542 -20.3702 -1.91207 2.01875 0.602207 0.431351 -23.2743 10.6565 2.72467 -4.43837 11.014124 0.178329 -0.509255 -0.0478017 3891.64
77 100 10 4.380278109 0.060233683 3.07505 0.079694 1.98423 2.6264 3.42113 3.25018 6.5027 -0.151572 4.95509 -16.4233 3.94688 1.32308 0.599634 -0.695674 -23.2743 10.6565 2.72467 -4.43837 11.199345 0.185221 -0.410583 0.0986719 3995.18
78 100 10 4.440065519 0.05978741 3.15629 0.0812449 1.98491 2.63268 3.42113 3.25018 6.25883 -0.243876 4.95584 -8.20452 8.21881 1.3589 0.536781 0.0358164 -23.2743 10.6565 2.72467 -4.43837 11.388052 0.188707 -0.205113 0.20547 4100.73
79 100 10 4.500257474 0.060191955 3.02498 -0.131316 1.98551 2.63768 3.42113 3.25018 5.58757 -0.671254 4.95621 5.74835 13.9529 -2.18162 0.482308 -3.54052 -23.2743 10.6565 2.72467 -4.43837 11.570131 0.182079 0.143709 0.348822 3930.12
80 100 10 4.560327989 0.060070515 2.9128 -0.112179 1.98604 2.64244 3.42113 3.25018 5.31384 -0.273736 4.95641 13.794 8.04561 -1.86745 0.7394 0.314172 -23.2743 10.6565 2.72467 -4.43837 11.745104 0.174973 0.344849 0.20114 3784.38
81 100 10 4.620646825 0.060318836 2.85875 -0.0540524 1.98654 2.64642 3.42113 3.25018 5.10417 -0.209665 4.9565 20.5936 6.79967 -0.896111 0.642986 0.971337 -23.2743 10.6565 2.72467 -4.43837 11.91754 0.172436 0.514841 0.169992 3714.15
82 100 10 4.680411738 0.059764913 2.58158 -0.277162 1.98689 2.64683 3.42113 3.25018 5.01047 -0.0937014 4.95653 25.1759 4.58228 -4.63753 -0.0932348 -3.74142 -23.2743 10.6565 2.72467 -4.63753 12.071828 0.154288 0.629398 0.114557 3354.06
83 100 10 4.739864714 0.059452976 2.47711 -0.104473 1.98717 2.64541 3.42113 3.25018 4.73484 -0.275627 4.9564 21.6661 -3.50983 -1.75724 -0.347095 2.88029 -23.2743 10.6565 2.72467 -4.63753 12.2191 0.147272 0.541652 -0.0877457 3218.32
84 100 10 4.790524663 0.050659949 2.5566 0.0794864 1.98749 2.64365 3.42113 3.25018 4.56016 -0.17468 4.95617 14.4106 -7.25552 1.56902 -0.34828 3.32626 -23.2743 10.6565 2.72467 -4.63753 12.348617 0.129517 0.360264 -0.181388 3321.59
85 100 10 4.850061672 0.059537009 2.63629 0.079695 1.98787 2.6419 3.42113 3.25018 4.36185 -0.198314 4.95583 5.01864 -9.39192 1.33858 -0.373163 -0.230439 -23.2743 10.6565 2.72467 -4.63753 12.505574 0.156957 0.125466 -0.234798 3425.13
86 100 10 4.910155227 0.060093555 2.64668 0.0103853 1.98825 2.63947 3.42113 3.25018 4.29031 -0.0715344 4.95545 -11.0506 -16.0693 0.172818 -0.557756 -1.16576 -23.2743 10.6565 2.72467 -4.63753 12.664622 0.159048 -0.276266 -0.401732 3438.63
87 100 10 4.960270245 0.050115018 2.62999 -0.0166833 1.98861 2.63566 3.42113 3.25018 4.18724 -0.103077 4.95501 -18.6843 -7.63366 -0.332901 -0.723354 -0.505719 -23.2743 10.6565 2.72467 -4.63753 12.796424 0.131802 -0.467107 -0.190841 3416.95
88 100 10 5.020227959 0.059957714 2.44429 -0.185707 1.98887 2.62921 3.42113 3.25018 2.92513 -1.26211 4.95385 -18.8045 -0.120238 -3.0973 -1.16897 -2.7644 -23.2743 10.6565 2.72467 -4.63753 12.942978 0.146554 -0.470113 -0.00300595 3175.68
