x averagetime averagesmooth time timedelta speed speeddelta speedaverage speedaveragetime speedmax speedmaxtime maxspeed maxspeeddelta maxspeedaverage angle angledelta acceleration accelerationsmooth accelerationdelta accelerationmin accelerationmax accelerationmintime accelerationmaxtime distance distancedelta turn turndelta rpm
60 100 10 3.473 0.053000000 4.80305 0.226133 4.88882 4.827 6.76276 6.76276 5.10954 0.101804 6.38295 -6.02058 0.474487 4.26667 -2.41978 4.59111 -5.16316 8.19672 8.19672 -5.16316 18.623726 0.254562 -0.150515 0.0118622 6240.24
61 100 10 3.532 0.059000000 4.97519 0.172135 4.89003 4.82906 6.76276 6.76276 5.25553 0.145992 6.36707 -4.18277 1.83781 2.91755 -2.02338 -1.34912 -5.16316 8.19672 8.19672 -5.16316 18.917262 0.293536 -0.104569 0.0459452 6463.89
62 100 10 3.593 0.061000000 5.02703 0.0518403 4.89194 4.83177 6.76276 6.76276 2.83077 -2.42476 6.31796 -13.2292 -9.04643 0.849841 -1.84993 -2.06771 -5.16316 8.19672 8.19672 -5.16316 19.223911 0.306649 -0.33073 -0.226161 6531.24
63 100 10 3.65 0.057000000 4.73273 -0.2943 4.88976 4.83043 6.76276 6.76276 4.11621 1.28544 6.2878 -14.7826 -1.55336 -5.16316 -2.19674 -6.013 -5.16316 8.19672 8.19672 -5.16316 19.493677 0.269766 -0.369564 -0.0388339 6148.88
64 100 10 3.711 0.061000000 4.43843 -0.2943 4.88366 4.82521 6.76276 6.76276 5.90334 1.78713 6.2826 -19.3742 -4.59162 -4.82459 -2.18869 0.338568 -5.16316 8.19672 8.19672 -5.16316 19.764421 0.270744 -0.484354 -0.114791 5766.51
65 100 10 3.771 0.060000000 4.4969 0.0584731 4.8785 4.82089 6.76276 6.76276 6.0781 0.174764 6.27987 -20.6222 -1.24804 0.974552 -1.59243 5.79914 -5.16316 8.19672 8.19672 -5.16316 20.034235 0.269814 -0.515555 -0.0312009 5842.48
66 100 10 3.822 0.051000000 4.70031 0.203411 4.87616 4.81932 6.76276 6.76276 5.81833 -0.259775 6.2738 -21.8514 -1.22921 3.98845 -0.712513 3.0139 -5.16316 8.19672 8.19672 -5.16316 20.273951 0.239716 -0.546286 -0.0307301 6106.76
67 100 10 3.881 0.059000000 4.86222 0.161909 4.87597 4.81987 6.76276 6.76276 5.5749 -0.243425 6.26472 -19.981 1.87039 2.74422 0.0524088 -1.24423 -5.16316 8.19672 8.19672 -5.16316 20.560822 0.286871 -0.499526 0.0467598 6317.12
68 100 10 3.94 0.059000000 4.95513 0.0929055 4.87699 4.82158 6.76276 6.76276 5.02631 -0.548593 6.24885 -17.9686 2.01245 1.57467 0.700376 -1.16955 -5.16316 8.19672 8.19672 -5.16316 20.853175 0.292353 -0.449214 0.0503112 6437.82
69 100 10 3.991 0.051000000 4.70988 -0.24525 4.87487 4.82019 6.76276 6.76276 4.7848 -0.24151 6.23031 -13.6557 4.31291 -4.80883 0.251937 -6.3835 -5.16316 8.19672 8.19672 -5.16316 21.093379 0.240204 -0.341392 0.107823 6119.19
70 100 10 4.05 0.059000000 4.60407 -0.105806 4.87149 4.81752 6.76276 6.76276 4.68407 -0.100728 6.21099 -9.62165 4.03402 -1.79333 -0.354062 3.0155 -5.16316 8.19672 8.19672 -5.16316 21.365019 0.27164 -0.240541 0.100851 5981.72
71 100 10 4.101 0.051000000 4.78582 0.181747 4.87043 4.81713 6.76276 6.76276 5.25872 0.57465 6.19923 -7.47697 2.14468 3.56367 -0.28945 5.35699 -5.16316 8.19672 8.19672 -5.16316 21.609096 0.244077 -0.186924 0.0536169 6217.85
72 100 10 4.161 0.060000000 4.86956 0.0837421 4.87042 4.81777 6.76276 6.76276 6.43684 1.17812 6.20213 -4.98581 2.49116 1.3957 -0.234864 -2.16796 -5.16316 8.19672 8.19672 -5.16316 21.90127 0.292174 -0.124645 0.062279 6326.65
73 100 10 4.22 0.059000000 5.14346 0.2739 4.87371 4.82164 6.76276 6.76276 5.65831 -0.778533 6.19558 -12.8048 -7.81902 4.64237 0.745689 3.24667 -5.16316 8.19672 8.19672 -5.16316 22.204734 0.303464 -0.320121 -0.195475 6682.51
74 100 10 4.271 0.051000000 4.94236 -0.201105 4.87453 4.82306 6.76276 6.76276 3.18669 -2.47162 6.15976 -13.8484 -1.04357 -3.94324 0.833824 -8.58561 -5.16316 8.19672 8.19672 -5.16316 22.456794 0.25206 -0.34621 -0.0260892 6421.23
75 100 10 4.33 0.059000000 4.65296 -0.289395 4.87192 4.82108 6.76276 6.76276 9.48314 6.29645 6.19885 -19.3872 -5.53881 -4.905 0.24587 -0.96176 -5.16316 8.19672 8.19672 -5.16316 22.731319 0.274525 -0.48468 -0.13847 6045.24
76 100 10 4.381 0.051000000 4.40281 -0.250155 4.86647 4.81628 6.76276 6.76276 8.21457 -1.26857 6.22229 -21.0077 -1.62052 -4.905 -0.643476 -1.90164e-06 -5.16316 8.19672 8.19672 -5.16316 22.955862 0.224543 -0.525193 -0.0405131 5720.23
77 100 10 4.44 0.059000000 4.48619 0.083385 4.8621 4.81253 6.76276 6.76276 8.21157 -0.00299747 6.24516 -17.8209 3.18683 1.4133 -0.776567 6.3183 -5.16316 8.19672 8.19672 -5.16316 23.220547 0.264685 -0.445523 0.0796708 5828.57
78 100 10 4.491 0.051000000 4.67578 0.189587 4.85998 4.81099 6.76276 6.76276 7.5841 -0.62747 6.26037 -19.5625 -1.74156 3.71739 -0.562295 2.30409 -5.16316 8.19672 8.19672 -5.16316 23.459012 0.238465 -0.489062 -0.043539 6074.88
79 100 10 4.551 0.060000000 4.97368 0.297905 4.86126 4.8128 6.76276 6.76276 7.78357 0.199467 6.27749 -16.6832 2.87926 4.96509 0.415097 1.2477 -5.16316 8.19672 8.19672 -5.16316 23.757433 0.298421 -0.41708 0.0719814 6461.93
80 100 10 4.61 0.059000000 5.24887 0.275183 4.86556 4.81759 6.76276 6.76276 7.51691 -0.266657 6.29126 -13.0833 3.59987 4.66412 1.06084 -0.300969 -5.16316 8.19672 8.19672 -5.16316 24.067116 0.309683 -0.327083 0.0899968 6819.45
81 100 10 4.662 0.052000000 5.48842 0.239549 4.87241 4.82488 6.76276 6.76276 7.68691 0.170001 6.3066 -6.11125 6.97208 4.60671 1.16515 -0.0574074 -5.16316 8.19672 8.19672 -5.16316 24.352514 0.285398 -0.152781 0.174302 7130.68
82 100 10 4.721 0.059000000 5.72746 0.239046 4.8817 4.83459 6.76276 6.76276 7.90785 0.220934 6.324 -4.878 1.23325 4.05163 1.43074 -0.555086 -5.16316 8.19672 8.19672 -5.16316 24.690434 0.33792 -0.12195 0.0308313 7441.26
83 100 10 4.78 0.059000000 5.97992 0.252461 4.89351 4.84677 6.76276 6.76276 7.70773 -0.200115 6.33888 2.49916 7.37716 4.27901 1.3944 0.227379 -5.16316 8.19672 8.19672 -5.16316 25.043249 0.352815 0.0624791 0.184429 7769.26
84 100 10 4.831 0.051000000 6.19664 0.216713 4.90737 4.86098 6.76276 6.76276 9.07452 1.36679 6.36798 4.73158 2.23241 4.24927 2.21365 -0.0297338 -5.16316 8.19672 8.19672 -5.16316 25.359277 0.316028 0.118289 0.0558104 8050.82
85 100 10 4.891 0.060000000 6.18863 -0.00800705 4.92086 4.87481 6.76276 6.76276 7.76138 -1.31314 6.38265 -6.02574 -10.7573 -0.133451 2.69081 -4.38272 -5.16316 8.19672 8.19672 -5.16316 25.730595 0.371318 -0.150644 -0.268933 8040.42
86 100 10 4.951 0.060000000 6.28182 0.093195 4.93504 4.88931 6.76276 6.76276 7.95294 0.191561 6.39901 2.9243 8.95004 1.55325 3.33663 1.6867 -5.16316 8.19672 8.19672 -5.16316 26.107504 0.376909 0.0731074 0.223751 8161.5
87 100 10 5.002 0.051000000 6.53198 0.250155 4.9515 4.90608 6.76276 6.76276 7.61588 -0.337064 6.41155 0.958106 -1.96619 4.905 3.6858 3.35175 -5.16316 8.19672 8.19672 -5.16316 26.440635 0.333131 0.0239527 -0.0491547 8486.5
88 100 10 5.061 0.059000000 6.33087 -0.201105 4.96558 4.92047 6.76276 6.76276 7.89701 0.281127 6.42671 -6.36996 -7.32807 -3.40856 2.97321 -8.31356 -5.16316 8.19672 8.19672 -5.16316 26.814157 0.373522 -0.159249 -0.183202 8225.22
89 100 10 5.12 0.059000000 6.41273 0.0818515 4.98019 4.93539 6.76276 6.76276 7.82057 -0.0764327 6.44079 -1.76548 4.60449 1.38731 2.61543 4.79587 -5.16316 8.19672 8.19672 -5.16316 27.192508 0.378351 -0.0441369 0.115112 8331.57
90 100 10 5.173 0.053000000 6.21653 -0.1962 4.99256 4.99256 6.76276 6.76276 7.46084 -0.359739 6.45099 -0.398547 1.36693 -3.70188 1.77883 -5.0892 -5.16316 8.19672 5.16316 -5.16316 27.521984 0.329476 -0.00996367 0.0341732 8076.66
91 100 10 5.224 0.051000000 6.13113 -0.085393 5.00383 5.04597 6.76276 6.76276 7.31606 -0.144776 6.45955 5.86594 6.26448 -1.67437 1.15072 2.02751 -5.16316 8.19672 5.16316 -5.16316 27.834672 0.312688 0.146648 0.156612 7965.72
92 100 10 5.281 0.057000000 6.40581 0.27468 5.01757 5.09919 6.76276 6.76276 7.38676 0.0707054 6.46864 3.62991 -2.23602 4.81895 1.22745 6.49332 -5.16316 8.19672 5.08667 -5.16316 28.199803 0.365131 0.0907478 -0.0559006 8322.59
93 100 10 5.342 0.061000000 6.11151 -0.2943 5.02819 5.14682 6.76276 6.76276 3.64856 -3.7382 6.44127 -4.89734 -8.52725 -4.82459 0.317093 -9.64354 -5.16316 8.19672 5.08667 -5.16316 28.572605 0.372802 -0.122433 -0.213181 7940.22
94 100 10 5.401 0.059000000 5.81231 -0.299205 5.03573 5.18871 6.76276 6.76276 3.62637 -0.0221954 6.4142 4.54164 9.43898 -5.07127 -0.614962 -0.246677 -5.16316 8.19672 4.98814 -5.16316 28.915531 0.342926 0.113541 0.235974 7551.49
